word,frequency
the,1114
i,955
you,877
to,748
and,657
a,617
-,463
it,416
my,377
me,342
in,334
of,315
i'm,288
your,277
we,272
that,259
on,254
with,242
just,227
be,219
so,207
like,205
is,202
this,199
but,196
for,188
when,187
all,165
they,164
up,156
was,152
don't,151
get,151
&,148
as,141
at,140
it's,140
no,135
got,131
if,128
shit,128
or,125
'cause,119
what,116
out,110
know,108
see,108
can't,107
do,106
never,103
one,99
go,95
say,94
ain't,93
can,91
[verse,88
how,87
more,86
fuck,83
these,82
you're,81
not,81
back,80
from,79
"me,",75
●,72
have,70
that's,69
eminem],69
his,68
think,66
eminem,65
'til,64
"sayin',",64
off,63
some,63
now,63
fuckin',62
about,62
even,62
could,61
wanna,60
are,59
want,59
ft.,59
us,58
too,58
'em,57
who,57
love,56
make,55
he,54
little,54
time,52
ever,52
come,50
through,50
then,49
why,49
look,49
i'll,48
i'ma,47
her,46
been,45
crazy,45
did,44
"you,",44
let's,44
said,43
down,42
she,42
our,42
right,42
let,42
two,41
nothin',41
still,41
gonna,41
had,41
would,40
tell,39
maybe,39
here,38
will,38
feel,38
shady,38
"superman,",38
put,38
give,37
gotta,37
hollywood,37
an,35
"it,",35
there's,35
[chorus:,34
him,34
might,34
better,34
am,34
take,34
them,33
much,33
also,33
way,33
talk,33
every,32
hit,32
rap,32
ass,32
niggas,32
"""goodbye"",",32
people,32
"""goodbye""",32
than,31
"up,",31
ain’t,30
gon',30
really,30
white,30
gone,30
tickets,30
there,29
superman,29
call,29
where,29
kill,29
"bitch,",28
won't,28
keep,28
try,28
by,28
good,28
bitch,28
low,28
"yo,",27
i'd,27
over,27
liveget,26
[chorus],26
sing,26
dr.,26
we're,26
bad,26
$33you,25
whole,25
always,24
"out,",24
only,24
"crazy,",24
without,24
comes,24
"left,",24
dre,23
their,23
around,23
"off,",23
sick,23
life,23
world,23
need,22
many,22
"now,",22
50,22
fucked,22
"yeah,",22
"america,",22
‘cause,22
kids,22
baby,21
it’s,21
hear,21
until,21
made,21
"shit,",21
last,21
own,21
other,20
everybody,20
lot,20
day,20
leave,20
same,20
man,20
stop,20
told,19
game,19
inside,19
guess,19
start,19
music,19
spit,19
meant,19
into,19
hailie,19
each,19
old,19
(let's,19
another,19
new,18
came,18
shut,18
shot,18
you'll,18
"baby,",18
cuckoo,18
lil,18
i’m,17
both,17
seen,17
he's,17
money,17
face,17
while,17
"man,",17
stops,16
